"case_1","case_2","accused_in_common"
"Caso ERE/Alcolea del Río","Caso ERE/CENFORPRE",1
"Caso ERE/Alcolea del Río","Caso ERE/Egmasa",2
"Caso ERE/Alcolea del Río","Caso ERE/Empresa ABB",1
"Caso ERE/Alcolea del Río","Caso ERE/Franja Pirítica",2
"Caso ERE/Alcolea del Río","Caso ERE/Guerrero y Trujillo",1
"Caso ERE/Alcolea del Río","Caso ERE/Hamsa Primayor",1
"Caso ERE/Alcolea del Río","Caso ERE/Heineken España",1
"Caso ERE/Alcolea del Río","Caso ERE/Instaladora Moderna",1
"Caso ERE/Alcolea del Río","Caso ERE/Matadero Fuenteobejuna",1
"Caso ERE/Alcolea del Río","Caso ERE/Nexprom",1
"Caso ERE/Alcolea del Río","Caso ERE/Peninsular del Latón",1
"Caso ERE/Alcolea del Río","Caso ERE/Pieza Política",2
"Caso ERE/Alcolea del Río","Caso ERE/Río Grande",1
"Caso ERE/Alcolea del Río","Caso ERE/Santana Motor",2
"Caso ERE/Alcolea del Río","Caso ERE/Siemens Metering",1
"Caso ERE/Alcolea del Río","Caso ERE/Sierra Norte de Sevilla",2
"Caso ERE/Alcolea del Río","Caso ERE/Sobrecomisiones",1
"Caso ERE/Alcolea del Río","Caso ERE/Surcolor",1
"Caso ERE/Alcolea del Río","Caso ERE/Universidad de Sevilla",1
"Caso ERE/Alcolea del Río","Caso ERE/Yogures Andaluces",2
"Caso ERE/Alcolea del Río","Caso Umax",1
"Caso ERE/Ayuntamiento San Nicolás","Caso ERE/CENFORPRE",1
"Caso ERE/Ayuntamiento San Nicolás","Caso ERE/Egmasa",1
"Caso ERE/Ayuntamiento San Nicolás","Caso ERE/Empresa ABB",1
"Caso ERE/Ayuntamiento San Nicolás","Caso ERE/Franja Pirítica",1
"Caso ERE/Ayuntamiento San Nicolás","Caso ERE/Guerrero y Trujillo",1
"Caso ERE/Ayuntamiento San Nicolás","Caso ERE/Hamsa Primayor",1
"Caso ERE/Ayuntamiento San Nicolás","Caso ERE/Heineken España",1
"Caso ERE/Ayuntamiento San Nicolás","Caso ERE/Instaladora Moderna",1
"Caso ERE/Ayuntamiento San Nicolás","Caso ERE/Matadero Fuenteobejuna",1
"Caso ERE/Ayuntamiento San Nicolás","Caso ERE/Nexprom",1
"Caso ERE/Ayuntamiento San Nicolás","Caso ERE/Peninsular del Latón",1
"Caso ERE/Ayuntamiento San Nicolás","Caso ERE/Pieza Política",1
"Caso ERE/Ayuntamiento San Nicolás","Caso ERE/Río Grande",1
"Caso ERE/Ayuntamiento San Nicolás","Caso ERE/Santana Motor",1
"Caso ERE/Ayuntamiento San Nicolás","Caso ERE/Siemens Metering",1
"Caso ERE/Ayuntamiento San Nicolás","Caso ERE/Sierra Norte de Sevilla",1
"Caso ERE/Ayuntamiento San Nicolás","Caso ERE/Sobrecomisiones",1
"Caso ERE/Ayuntamiento San Nicolás","Caso ERE/Surcolor",1
"Caso ERE/Ayuntamiento San Nicolás","Caso ERE/Universidad de Sevilla",1
"Caso ERE/Ayuntamiento San Nicolás","Caso ERE/Yogures Andaluces",1
"Caso ERE/Ayuntamiento San Nicolás","Caso Umax",1
"Caso ERE/CENFORPRE","Caso ERE/Empresa ABB",1
"Caso ERE/CENFORPRE","Caso ERE/Franja Pirítica",1
"Caso ERE/CENFORPRE","Caso ERE/Heineken España",1
"Caso ERE/CENFORPRE","Caso ERE/Matadero Fuenteobejuna",1
"Caso ERE/CENFORPRE","Caso ERE/Nexprom",1
"Caso ERE/CENFORPRE","Caso ERE/Peninsular del Latón",1
"Caso ERE/CENFORPRE","Caso ERE/Pieza Política",1
"Caso ERE/CENFORPRE","Caso ERE/Río Grande",1
"Caso ERE/CENFORPRE","Caso ERE/Santana Motor",1
"Caso ERE/CENFORPRE","Caso ERE/Siemens Metering",1
"Caso ERE/CENFORPRE","Caso ERE/Sierra Norte de Sevilla",1
"Caso ERE/CENFORPRE","Caso ERE/Universidad de Sevilla",1
"Caso ERE/CENFORPRE","Caso ERE/Yogures Andaluces",1
"Caso ERE/CENFORPRE","Caso Umax",1
"Caso ERE/Egmasa","Caso ERE/Empresa ABB",1
"Caso ERE/Egmasa","Caso ERE/Peninsular del Latón",1
"Caso ERE/Egmasa","Caso ERE/Río Grande",1
"Caso ERE/Egmasa","Caso ERE/Siemens Metering",2
"Caso ERE/Egmasa","Caso ERE/Universidad de Sevilla",1
"Caso ERE/Empresa ABB","Caso ERE/Franja Pirítica",1
"Caso ERE/Empresa ABB","Caso ERE/Guerrero y Trujillo",1
"Caso ERE/Empresa ABB","Caso ERE/Hamsa Primayor",1
"Caso ERE/Empresa ABB","Caso ERE/Heineken España",1
"Caso ERE/Empresa ABB","Caso ERE/Instaladora Moderna",1
"Caso ERE/Empresa ABB","Caso ERE/Matadero Fuenteobejuna",1
"Caso ERE/Empresa ABB","Caso ERE/Nexprom",1
"Caso ERE/Empresa ABB","Caso ERE/Peninsular del Latón",1
"Caso ERE/Empresa ABB","Caso ERE/Pieza Política",1
"Caso ERE/Empresa ABB","Caso ERE/Río Grande",1
"Caso ERE/Empresa ABB","Caso ERE/Santana Motor",1
"Caso ERE/Empresa ABB","Caso ERE/Siemens Metering",1
"Caso ERE/Empresa ABB","Caso ERE/Sierra Norte de Sevilla",1
"Caso ERE/Empresa ABB","Caso ERE/Sobrecomisiones",1
"Caso ERE/Empresa ABB","Caso ERE/Surcolor",1
"Caso ERE/Empresa ABB","Caso ERE/Universidad de Sevilla",1
"Caso ERE/Empresa ABB","Caso ERE/Yogures Andaluces",1
"Caso ERE/Empresa ABB","Caso Umax",1
"Caso ERE/Franja Pirítica","Caso ERE/Guerrero y Trujillo",1
"Caso ERE/Franja Pirítica","Caso ERE/Peninsular del Latón",1
"Caso ERE/Franja Pirítica","Caso ERE/Río Grande",1
"Caso ERE/Franja Pirítica","Caso ERE/Siemens Metering",1
"Caso ERE/Guerrero y Trujillo","Caso ERE/Heineken España",1
"Caso ERE/Guerrero y Trujillo","Caso ERE/Matadero Fuenteobejuna",1
"Caso ERE/Guerrero y Trujillo","Caso ERE/Nexprom",1
"Caso ERE/Guerrero y Trujillo","Caso ERE/Peninsular del Latón",1
"Caso ERE/Guerrero y Trujillo","Caso ERE/Pieza Política",1
"Caso ERE/Guerrero y Trujillo","Caso ERE/Río Grande",1
"Caso ERE/Guerrero y Trujillo","Caso ERE/Santana Motor",1
"Caso ERE/Guerrero y Trujillo","Caso ERE/Siemens Metering",1
"Caso ERE/Guerrero y Trujillo","Caso ERE/Sierra Norte de Sevilla",1
"Caso ERE/Guerrero y Trujillo","Caso ERE/Universidad de Sevilla",1
"Caso ERE/Guerrero y Trujillo","Caso ERE/Yogures Andaluces",1
"Caso ERE/Guerrero y Trujillo","Caso Umax",1
"Caso ERE/Hamsa Primayor","Caso ERE/Nexprom",1
"Caso ERE/Hamsa Primayor","Caso ERE/Peninsular del Latón",1
"Caso ERE/Hamsa Primayor","Caso ERE/Río Grande",2
"Caso ERE/Hamsa Primayor","Caso ERE/Siemens Metering",2
"Caso ERE/Hamsa Primayor","Caso ERE/Universidad de Sevilla",3
"Caso ERE/Hamsa Primayor","Caso Umax",2
"Caso ERE/Heineken España","Caso ERE/Nexprom",1
"Caso ERE/Heineken España","Caso ERE/Peninsular del Latón",1
"Caso ERE/Heineken España","Caso ERE/Río Grande",1
"Caso ERE/Heineken España","Caso ERE/Siemens Metering",1
"Caso ERE/Heineken España","Caso ERE/Universidad de Sevilla",1
"Caso ERE/Heineken España","Caso Umax",1
"Caso ERE/Instaladora Moderna","Caso ERE/Peninsular del Latón",1
"Caso ERE/Instaladora Moderna","Caso ERE/Río Grande",2
"Caso ERE/Instaladora Moderna","Caso ERE/Siemens Metering",2
"Caso ERE/Matadero Fuenteobejuna","Caso ERE/Nexprom",1
"Caso ERE/Matadero Fuenteobejuna","Caso ERE/Peninsular del Latón",1
"Caso ERE/Matadero Fuenteobejuna","Caso ERE/Río Grande",2
"Caso ERE/Matadero Fuenteobejuna","Caso ERE/Siemens Metering",2
"Caso ERE/Matadero Fuenteobejuna","Caso ERE/Universidad de Sevilla",1
"Caso ERE/Matadero Fuenteobejuna","Caso Umax",1
"Caso ERE/Nexprom","Caso ERE/Peninsular del Latón",1
"Caso ERE/Nexprom","Caso ERE/Pieza Política",1
"Caso ERE/Nexprom","Caso ERE/Río Grande",1
"Caso ERE/Nexprom","Caso ERE/Siemens Metering",1
"Caso ERE/Nexprom","Caso ERE/Sierra Norte de Sevilla",1
"Caso ERE/Nexprom","Caso ERE/Sobrecomisiones",1
"Caso ERE/Nexprom","Caso ERE/Universidad de Sevilla",1
"Caso ERE/Nexprom","Caso ERE/Yogures Andaluces",1
"Caso ERE/Peninsular del Latón","Caso ERE/Pieza Política",1
"Caso ERE/Peninsular del Latón","Caso ERE/Río Grande",1
"Caso ERE/Peninsular del Latón","Caso ERE/Santana Motor",1
"Caso ERE/Peninsular del Latón","Caso ERE/Siemens Metering",1
"Caso ERE/Peninsular del Latón","Caso ERE/Sierra Norte de Sevilla",1
"Caso ERE/Peninsular del Latón","Caso ERE/Sobrecomisiones",1
"Caso ERE/Peninsular del Latón","Caso ERE/Surcolor",1
"Caso ERE/Peninsular del Latón","Caso ERE/Universidad de Sevilla",1
"Caso ERE/Peninsular del Latón","Caso ERE/Yogures Andaluces",1
"Caso ERE/Peninsular del Latón","Caso Umax",1
"Caso ERE/Pieza Política","Caso ERE/Río Grande",2
"Caso ERE/Pieza Política","Caso ERE/Siemens Metering",1
"Caso ERE/Pieza Política","Caso ERE/Universidad de Sevilla",3
"Caso ERE/Río Grande","Caso ERE/Santana Motor",2
"Caso ERE/Río Grande","Caso ERE/Siemens Metering",1
"Caso ERE/Río Grande","Caso ERE/Sierra Norte de Sevilla",2
"Caso ERE/Río Grande","Caso ERE/Sobrecomisiones",2
"Caso ERE/Río Grande","Caso ERE/Surcolor",2
"Caso ERE/Río Grande","Caso ERE/Universidad de Sevilla",2
"Caso ERE/Río Grande","Caso ERE/Yogures Andaluces",2
"Caso ERE/Río Grande","Caso Umax",2
"Caso ERE/Santana Motor","Caso ERE/Siemens Metering",1
"Caso ERE/Santana Motor","Caso ERE/Universidad de Sevilla",2
"Caso ERE/Siemens Metering","Caso ERE/Sierra Norte de Sevilla",1
"Caso ERE/Siemens Metering","Caso ERE/Sobrecomisiones",2
"Caso ERE/Siemens Metering","Caso ERE/Surcolor",2
"Caso ERE/Siemens Metering","Caso ERE/Universidad de Sevilla",1
"Caso ERE/Siemens Metering","Caso ERE/Yogures Andaluces",1
"Caso ERE/Siemens Metering","Caso Umax",1
"Caso ERE/Sierra Norte de Sevilla","Caso ERE/Universidad de Sevilla",1
"Caso ERE/Sierra Norte de Sevilla","Caso Umax",1
"Caso ERE/Sobrecomisiones","Caso ERE/Universidad de Sevilla",1
"Caso ERE/Sobrecomisiones","Caso Umax",1
"Caso ERE/Surcolor","Caso ERE/Universidad de Sevilla",2
"Caso ERE/Universidad de Sevilla","Caso ERE/Yogures Andaluces",1
"Caso ERE/Universidad de Sevilla","Caso Umax",2
"Caso ERE/Yogures Andaluces","Caso Umax",1
"Caso Bankia Salida a Bolsa","Caso Lezo/Tren Navalcarnero",1
"Caso Lezo/Tren Navalcarnero","Caso Púnica/Financiación PP",4
"Caso Púnica","Caso Púnica/Financiación PP",1
"Caso Púnica","Caso Púnica/Talamino",1
"Caso Púnica/Financiación PP","Caso Púnica/Talamino",1
"Caso Barraca","Caso Umbra",3
"Caso Depuradora Borriol","Caso PGOU Vall de Alba",1
"Caso ERE/Pieza Política","Caso Invercaria/Servivation",1
"Caso ERE/SK 3000","Caso Invercaria/Servivation",1
"Caso Aguas de Calpe","Caso Flotador/Aigües Sagunt",1
"Caso Mar Blau","Caso Tarjetas Black Bankia",1
"Caso Conde Roa","Caso Pokemon/Concello Santiago",1
"Caso Eólica Valladolid","Caso Perla Negra",1
"Caso Mercurio","Caso Pokemon/Vendex",1
"Caso Púnica/Diputación de León","Caso Púnica/Murcia",1
"Caso Defex/Angola","Caso Lezo/Mercasa",1
"Caso Concursos Adif","Caso Púnica/Financiación PP",1
"Caso Ático Estepona","Caso Lezo/Blanqueo capitales",2
"Caso Ático Estepona","Caso Lezo/Canal Golf",1
"Caso Ático Estepona","Caso Lezo/Inassa y Emissao",1
"Caso Ático Estepona","Caso Lezo/Tren Navalcarnero",1
"Caso Ático Estepona","Caso Púnica/Financiación PP",1
"Caso Lezo/Blanqueo capitales","Caso Lezo/Canal Golf",2
"Caso Lezo/Blanqueo capitales","Caso Lezo/Tren Navalcarnero",1
"Caso Lezo/Blanqueo capitales","Caso Púnica/Financiación PP",1
"Caso Lezo/Canal Golf","Caso Lezo/Inassa y Emissao",1
"Caso Lezo/Canal Golf","Caso Lezo/Tren Navalcarnero",1
"Caso Lezo/Canal Golf","Caso Púnica/Financiación PP",1
"Caso Lezo/Inassa y Emissao","Caso Lezo/Tren Navalcarnero",1
"Caso Lezo/Inassa y Emissao","Caso Púnica/Financiación PP",1
"Caso Nazarí","Caso Serrallo",4
"Caso Invercaria/Ándalus","Caso Invercaria/FIVA",2
"Caso Invercaria/Ándalus","Caso Invercaria/Fumapa",2
"Caso Invercaria/FIVA","Caso Invercaria/Fumapa",4
"Caso de los Avales","Caso ERE/Hamsa Primayor",1
"Caso de los Avales","Caso ERE/Instaladora Moderna",2
"Caso de los Avales","Caso ERE/Pieza Política",3
"Caso de los Avales","Caso ERE/SK 3000",1
"Caso de los Avales","Caso ERE/Universidad de Sevilla",1
"Caso de los Avales","Caso Invercaria/FIVA",1
"Caso de los Avales","Caso Invercaria/Fumapa",1
"Caso ERE/Hamsa Primayor","Caso Invercaria/FIVA",1
"Caso ERE/Hamsa Primayor","Caso Invercaria/Fumapa",1
"Caso ERE/Instaladora Moderna","Caso Invercaria/FIVA",1
"Caso ERE/Instaladora Moderna","Caso Invercaria/Fumapa",1
"Caso ERE/Pieza Política","Caso Invercaria/FIVA",1
"Caso ERE/Pieza Política","Caso Invercaria/Fumapa",1
"Caso ERE/SK 3000","Caso ERE/Universidad de Sevilla",2
"Caso ERE/SK 3000","Caso Invercaria/FIVA",1
"Caso ERE/SK 3000","Caso Invercaria/Fumapa",1
"Caso ERE/Universidad de Sevilla","Caso Invercaria/FIVA",1
"Caso ERE/Universidad de Sevilla","Caso Invercaria/Fumapa",1
"Caso Avión Privado","Caso Cuadro Picasso",1
"Caso Nóos","Caso Ópera",1
"Caso Nóos","Caso Over Marketing",1
"Caso Nóos","Caso Palma Arena",1
"Caso Nóos","Caso Son Espases",1
"Caso Ópera","Caso Over Marketing",1
"Caso Ópera","Caso Palma Arena",1
"Caso Ópera","Caso Son Espases",1
"Caso Over Marketing","Caso Palma Arena",1
"Caso Over Marketing","Caso Son Espases",1
"Caso Palma Arena","Caso Son Espases",1
"Caso Banca Catalana","Caso Pujol",1
"Caso El Musel/A ver la ballena","Caso El Musel/Pieza principal",2
"Caso Stratvs/I","Caso Stratvs/II",2
"Caso ERE/Alcolea del Río","Caso ERE/Fundación San Telmo",1
"Caso Stratvs/I","Caso Yate",1
"Caso Stratvs/II","Caso Yate",1
"Caso ERE/Franja Pirítica","Caso ERE/Pickman La Cartuja",1
"Caso ERE/González Byass","Caso ERE/Pickman La Cartuja",1
"Caso ERE/González Byass","Caso ERE/Sobrecomisiones",1
"Caso ERE/Pickman La Cartuja","Caso ERE/Santana Motor",1
"Caso ERE/Pickman La Cartuja","Caso ERE/Sobrecomisiones",2
"Caso ERE/Pickman La Cartuja","Caso ERE/Surcolor",1
"Caso Defex/Angola","Caso Defex/Egipto",2
"Caso Montaña Roja","Caso Stratvs/II",1
"Caso Aneri","Caso Rosario",1
"Caso Baltar","Caso Pokemon/Vendex",1
"Caso Cerrú","Caso Gürtel/Arganda",1
"Caso Cerrú","Caso Gürtel/Boadilla",1
"Caso Cerrú","Caso Gürtel/Visita del Papa",1
"Caso Bankia Salida a Bolsa","Caso Imarol",1
"Caso Enredadera","Caso Gürtel/Boadilla",1
"Caso Enredadera","Caso Púnica/Financiación PP",1
"Caso Gürtel/Boadilla","Caso Púnica/Financiación PP",1
"Caso Bankia Salida a Bolsa","Caso Lezo/Blanqueo capitales",1
"Caso Villarejo/Iron","Caso Villarejo/King",2
"Caso Villarejo/Iron","Caso Villarejo/Land",2
"Caso Villarejo/King","Caso Villarejo/Kitchen",1
"Caso Villarejo/King","Caso Villarejo/Land",2
"Caso Villarejo/Kitchen","Caso Villarejo/Land",1
"Caso Lezo/Blanqueo capitales","Caso Púnica/Eico y Madiva",1
"Caso Cursach","Caso Over Marketing",1
"Caso El Roblecillo","Caso Novo Carthago",2
"Caso Proconor","Caso Trapur",1
"Caso Santa Catalina","Caso Trapur",1
"Caso Gürtel/Visita del Papa","Caso Trajes",1
"Caso Erial","Caso Gürtel/Visita del Papa",1
"Caso ERE/A-NOVO","Caso ERE/González Byass",1
"Caso ERE/A-NOVO","Caso ERE/SK 3000",1
"Caso ERE/A-NOVO","Caso ERE/Ubago Group Mare",1
"Caso ERE/Aglomerados Morell","Caso ERE/SK 3000",1
"Caso ERE/González Byass","Caso ERE/Hamsa Primayor",1
"Caso ERE/González Byass","Caso ERE/Pieza Política",1
"Caso ERE/González Byass","Caso ERE/Río Grande",1
"Caso ERE/González Byass","Caso ERE/SK 3000",1
"Caso ERE/Hamsa Primayor","Caso ERE/Ubago Group Mare",1
"Caso ERE/Pieza Política","Caso ERE/Ubago Group Mare",1
"Caso ERE/Río Grande","Caso ERE/SK 3000",1
"Caso ERE/Río Grande","Caso ERE/Ubago Group Mare",1
"Caso ERE/SK 3000","Caso ERE/Ubago Group Mare",1
"Caso ERE/SK 3000","Caso Umax",1
"Caso Aguas de Calpe","Caso Obras de Arte",1
"Caso Malaya","Caso Minutas",1
"Caso Invercaria/FIVA","Caso Invercaria/Kandor",2
"Caso Carmelitas","Caso Metrored",1
"Caso Bárcenas","Caso Gürtel/Papeles Bárcenas",1
"Caso Bárcenas","Caso Gürtel/Primera Época",1
"Caso Gürtel/Papeles Bárcenas","Caso Gürtel/Primera Época",1
"Caso Erial","Caso Oleguer Pujol",1
"Caso Lezo/Blanqueo capitales","Caso Lezo/Mercasa",2
"Caso Acuamed","Caso Marismas",1
"Caso Las Teresitas","Caso Mamotreto",1
"Caso Can Domenge","Caso Inestur/Cilma",2
"Caso Can Domenge","Caso Maquillaje",2
"Caso Inestur/Cilma","Caso Maquillaje",2
"Caso Inestur/Cilma","Caso Son Oms",1
"Caso Maquillaje","Caso Son Oms",1
"Caso Máster","Caso Púnica/Financiación PP",1
"Caso Emucesa","Caso Serrallo",1
"Caso Ordenadores Bárcenas","Caso Taula",1
"Caso El Carabassí","Caso Gran Alacant",1
"Caso Bitácora","Caso Nóos",1
"Caso Brugal","Caso Escorratel",1
"Caso Mamotreto","Caso Siliuto",1
"Caso Oleguer Pujol","Caso Pujol",1
"Caso Bolsos","Caso Púnica/Contratos Públicos",1
"Caso ITV","Caso Pujol",1
"Caso Lezo/Canal Golf","Caso Lezo/Mercasa",1
"Caso Gürtel/Boadilla","Caso Gürtel/Papeles Bárcenas",1
"Caso Gürtel/Boadilla","Caso Imelsa",1
"Caso Gürtel/Papeles Bárcenas","Caso Imelsa",1
"Caso Gürtel/Primera Época","Caso Ordenadores Bárcenas",1
"Caso Gürtel/Primera Época","Caso Over Marketing",1
"Caso Gürtel/Primera Época","Caso Subvención PP",1
"Caso Ordenadores Bárcenas","Caso Over Marketing",1
"Caso Ordenadores Bárcenas","Caso Subvención PP",1
"Caso Over Marketing","Caso Subvención PP",1
"Caso Auditorio","Caso Púnica/Murcia",1
"Caso Asesores","Caso Casa del Rocío",1
"Caso Asesores","Caso Estación Autobuses",1
"Caso Casa del Rocío","Caso Estación Autobuses",1
"Caso Gürtel/Fitur","Caso Trajes",1
"Caso El Musel/Pieza principal","Caso Lezo/Tren Navalcarnero",1
"Caso Gürtel/Caja B PP Valencia","Caso Valmor Fórmula 1",2
"Caso Villarejo/Iron","Caso Villarejo/Pit",1
"Caso Villarejo/Iron","Caso Villarejo/Trampa",1
"Caso Villarejo/King","Caso Villarejo/Pit",1
"Caso Villarejo/King","Caso Villarejo/Trampa",1
"Caso Villarejo/Land","Caso Villarejo/Pit",1
"Caso Villarejo/Land","Caso Villarejo/Trampa",1
"Caso Villarejo/Pit","Caso Villarejo/Trampa",1
"Caso ERE/A-NOVO","Caso ERE/Mac Puar",1
"Caso ERE/A-NOVO","Caso ERE/Pickman La Cartuja",1
"Caso ERE/Mac Puar","Caso ERE/Pickman La Cartuja",1
"Caso CAM","Caso CAM/Caribe",1
"Caso Bankia Salida a Bolsa","Caso Rato/Blanqueo de capitales",1
"Caso Bankia Salida a Bolsa","Caso Rato/Fraude Fiscal",1
"Caso Rato/Blanqueo de capitales","Caso Rato/Fraude Fiscal",1
"Caso Rato/Blanqueo de capitales","Caso Tarjetas Black Bankia",1
"Caso Rato/Fraude Fiscal","Caso Tarjetas Black Bankia",1
"Caso Avialsa","Caso DV4",1
"Caso Invercaria/Aceitunas Tatis","Caso Invercaria/Ándalus",1
"Caso Invercaria/Aceitunas Tatis","Caso Invercaria/EDM",1
"Caso Invercaria/Aceitunas Tatis","Caso Invercaria/FIVA",1
"Caso Invercaria/Aceitunas Tatis","Caso Invercaria/Fumapa",1
"Caso Invercaria/Aceitunas Tatis","Caso Invercaria/J. Martín",1
"Caso Invercaria/Aceitunas Tatis","Caso Invercaria/Kandor",1
"Caso Invercaria/Aceitunas Tatis","Caso Invercaria/Keepfresh",1
"Caso Invercaria/Aceitunas Tatis","Caso Invercaria/Lolita Canalla",1
"Caso Invercaria/Aceitunas Tatis","Caso Invercaria/Own Spa",1
"Caso Invercaria/Aceitunas Tatis","Caso Invercaria/Servivation",1
"Caso Invercaria/Ándalus","Caso Invercaria/EDM",1
"Caso Invercaria/Ándalus","Caso Invercaria/J. Martín",1
"Caso Invercaria/Ándalus","Caso Invercaria/Kandor",1
"Caso Invercaria/Ándalus","Caso Invercaria/Keepfresh",1
"Caso Invercaria/Ándalus","Caso Invercaria/Lolita Canalla",1
"Caso Invercaria/Ándalus","Caso Invercaria/Own Spa",1
"Caso Invercaria/Ándalus","Caso Invercaria/Servivation",1
"Caso Invercaria/EDM","Caso Invercaria/Fumapa",1
"Caso Invercaria/EDM","Caso Invercaria/J. Martín",1
"Caso Invercaria/EDM","Caso Invercaria/Kandor",1
"Caso Invercaria/EDM","Caso Invercaria/Keepfresh",1
"Caso Invercaria/EDM","Caso Invercaria/Lolita Canalla",1
"Caso Invercaria/EDM","Caso Invercaria/Own Spa",1
"Caso Invercaria/FIVA","Caso Invercaria/Lolita Canalla",1
"Caso Invercaria/FIVA","Caso Invercaria/Own Spa",1
"Caso Invercaria/Fumapa","Caso Invercaria/J. Martín",1
"Caso Invercaria/Fumapa","Caso Invercaria/Kandor",1
"Caso Invercaria/Fumapa","Caso Invercaria/Keepfresh",1
"Caso Invercaria/Fumapa","Caso Invercaria/Lolita Canalla",1
"Caso Invercaria/Fumapa","Caso Invercaria/Own Spa",1
"Caso Invercaria/Fumapa","Caso Invercaria/Servivation",1
"Caso Invercaria/J. Martín","Caso Invercaria/Kandor",1
"Caso Invercaria/J. Martín","Caso Invercaria/Lolita Canalla",1
"Caso Invercaria/J. Martín","Caso Invercaria/Own Spa",1
"Caso Invercaria/J. Martín","Caso Invercaria/Servivation",1
"Caso Invercaria/Kandor","Caso Invercaria/Keepfresh",1
"Caso Invercaria/Kandor","Caso Invercaria/Lolita Canalla",1
"Caso Invercaria/Kandor","Caso Invercaria/Own Spa",1
"Caso Invercaria/Kandor","Caso Invercaria/Servivation",1
"Caso Invercaria/Keepfresh","Caso Invercaria/Lolita Canalla",1
"Caso Invercaria/Keepfresh","Caso Invercaria/Own Spa",1
"Caso Invercaria/Keepfresh","Caso Invercaria/Servivation",1
"Caso Invercaria/Lolita Canalla","Caso Invercaria/Own Spa",1
"Caso Invercaria/Lolita Canalla","Caso Invercaria/Servivation",1
"Caso Invercaria/Own Spa","Caso Invercaria/Servivation",1
"Caso Cursos Formación/FAFFE","Caso Umax",1
"Caso Erial","Caso Gürtel/Caja B PP Valencia",1
"Caso Erial","Caso Imarol",1
"Caso Gürtel/Caja B PP Valencia","Caso Imarol",1
"Caso Aerocas","Caso Valmor Fórmula 1",2
"Caso Inestur/Martínez Cañamero","Caso Inestur/Spa",1
"Caso Mijas","Caso Sobresueldos",1
"Caso Mijas","Caso Subastas",1
"Caso Sobresueldos","Caso Subastas",1
